eventid,category
201607250049,other/unknown
201607270058,other/unknown
201607310050,other/unknown
201608010027,other/unknown
201608010028,other/unknown
201608040052,other/unknown
201608050054,other/unknown
201608090043,other/unknown
201608090044,other/unknown
201608100099,other/unknown
201608130021,other/unknown
201608200042,other/unknown
201608230025,other/unknown
201609020055,other/unknown
201609120001,right-wing
201609160002,other/unknown
201609170001,islamist extremism
201609170002,islamist extremism
201609170003,islamist extremism
201609170004,islamist extremism
201609180001,islamist extremism
201609240025,other/unknown
201610030040,other/unknown
201610030060,other/unknown
201610040058,left-wing
201610090043,other/unknown
201610130052,left-wing
201610150013,other/unknown
201610160022,other/unknown
201611080059,left-wing
201611230062,other/unknown
201611250026,other/unknown
201611280001,islamist extremism
201612040047,right-wing
201612080038,other/unknown
201612150044,right-wing
201701020076,left-wing
201701060022,islamist extremism
201701070015,right-wing
201701070022,other/unknown
201701140040,right-wing
201701200055,right-wing
201701280038,right-wing
201701310059,islamist extremism
201702060025,right-wing
201702100037,right-wing
201702220017,right-wing
201702240020,right-wing
201702280022,other/unknown
201702280023,other/unknown
201702280024,other/unknown
201703030012,right-wing
201703100045,right-wing
201703200041,right-wing
201703220053,left-wing
201704060031,right-wing
201704130023,left-wing
201704180060,left-wing
201704240032,right-wing
201704270028,right-wing
201704270029,right-wing
201704280023,right-wing
201704280029,right-wing
201705190057,islamist extremism
201705190058,islamist extremism
201705200043,right-wing
201705260026,right-wing
201705260036,right-wing
201705290065,other/unknown
201705300053,right-wing
201706080047,right-wing
201706090049,right-wing
201706140029,left-wing
201706210022,islamist extremism
201706260019,right-wing
201707050048,other/unknown
201707070026,right-wing
201707080029,other/unknown
201707090044,left-wing
201707130061,left-wing
201708040042,other/unknown
201708050005,right-wing
201708120052,right-wing
201708190026,left-wing
201709110044,right-wing
201709120031,right-wing
201709140041,right-wing
201709240018,left-wing
201710010018,other/unknown
201710060013,other/unknown
201710080028,right-wing
201710220035,right-wing
201710280037,right-wing
201710310017,islamist extremism
201710310042,right-wing
201711070054,right-wing
201711130042,left-wing
201712070037,right-wing
201712110001,islamist extremism
201712220022,other/unknown
201712220023,other/unknown
