"category","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"islamist extremism",1,0,,,0,,,14,0,,0,6,6,25,53,16
"left-wing",0,0,0,0,0,0,0,0,1,0,0,0,2,0,11,6
"other/unknown",3,0,0,0,,0,0,0,3,0,0,17,0,1,4,62
"right-wing",,0,0,0,1,0,2,4,0,0,7,0,18,28,0,11
